userName;content;score;at;sentimen;hasil_prediksi;kategori;sentimen_kategori
joo seng ong;easy to use.n safer;50;31/12/2020 23:59;puas;puas;sistem aplikasi;sistem aplikasi
Angelo;when rta says 5 mins expect it will be 15 mins.;50;31/12/2020 22:28;puas;tidak puas;lainnya;sistem aplikasi
Carl david Franco;walang kwenta verificarion nyo;10;31/12/2020 20:46;tidak puas;tidak puas;lainnya;lainnya
reza pratama;ok;30;31/12/2020 19:41;netral;puas;lainnya;lainnya
Lee Ji An;there was no driver accepting then my money was deducted is this a scam? is there any refund? pls check;10;31/12/2020 19:17;tidak puas;tidak puas;driver;driver
Rasul Rasul;alhamdulillah good;50;31/12/2020 19:17;puas;puas;lainnya;lainnya
Yadie MK;puas dengan pelayanan dan keramahan;50;31/12/2020 18:10;puas;puas;driver;driver
Kumar;thanks for all;50;31/12/2020 17:56;puas;puas;lainnya;sistem aplikasi
Arry Rahmadi;cool app;50;31/12/2020 17:17;puas;puas;sistem aplikasi;sistem aplikasi
Steven Kurniawan;tidak ada tindak lanjut atas keluhan pesanan tulisan di aplikasi misleading semua kalau bisa saya beri mines akan saya beri mines aplikasi penipu;10;31/12/2020 15:55;tidak puas;tidak puas;sistem aplikasi;driver
amir rullah;order makanan nunggu sampai 2 jam dan makananya tidak sampai tapi orderan selesai dan uang di ovo di motong..kacau;10;31/12/2020 15:54;tidak puas;tidak puas;lainnya;driver
Enz Zo;always complicated when ur going to download it again.;10;31/12/2020 15:53;tidak puas;tidak puas;lainnya;sistem aplikasi
Subairi Subairi;good;50;31/12/2020 15:44;puas;puas;lainnya;lainnya
Khoa Nguyen;hight traffice is very low.... not found drive;10;31/12/2020 15:16;tidak puas;tidak puas;lainnya;lainnya
Khoirul Amri;mantap;50;31/12/2020 14:51;puas;puas;lainnya;lainnya
Farrosana;suka banget sih sama ini app cuma sayang aja promo cashnya tidak sebanyak dulu dan ongkirnya dulu 4.000 sekarang jadi 13.000 :(;40;31/12/2020 14:45;puas;netral;sistem aplikasi;sistem aplikasi
Sarvesnii Puspanathan;the service is very disappointed k ordered rm80 but i received the food within 30 food;10;31/12/2020 13:59;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
tims tim;v responsive.;40;31/12/2020 13:59;puas;puas;lainnya;sistem aplikasi
Yan FW;nice....;50;31/12/2020 13:54;puas;puas;driver;driver
M D saleh;great;50;31/12/2020 13:23;puas;puas;lainnya;lainnya
Umesh N Balani;good;50;31/12/2020 13:18;puas;puas;lainnya;lainnya
Posmen Diraja;lembab;10;31/12/2020 13:13;tidak puas;tidak puas;lainnya;lainnya
Sithiphon Sawaengdee;the best taxi hailing app in southeast asia.;50;31/12/2020 12:44;puas;puas;sistem aplikasi;sistem aplikasi
Simon T;great. super handy.;50;31/12/2020 12:42;puas;puas;lainnya;sistem aplikasi
Nik Busan;good;50;31/12/2020 12:22;puas;puas;lainnya;lainnya
Rahman Sutanto;good app. thx;50;31/12/2020 11:58;puas;puas;sistem aplikasi;sistem aplikasi
Nur Fatihan Fatisya Binti Hassan;good;50;31/12/2020 11:43;puas;puas;lainnya;lainnya
I C;phone doesn't ring when riders call. only shows a notification much later.;30;31/12/2020 11:18;netral;netral;lainnya;sistem aplikasi
Noranita Ahmad;good awesome;50;31/12/2020 11:09;puas;puas;lainnya;lainnya
Albert James;using samsung note 10+ also can detect face mask;10;31/12/2020 11:07;tidak puas;tidak puas;lainnya;sistem aplikasi
Jerelyn Reyes;ok ra mn sya ang problema wakoy kwrta ihahha;50;31/12/2020 10:52;puas;puas;lainnya;lainnya
Mila V Widjaya;helpfull and very easy to use app;50;31/12/2020 10:45;puas;puas;sistem aplikasi;sistem aplikasi
dwi winoto;ok;50;31/12/2020 10:37;puas;puas;lainnya;lainnya
Emily Goh;i dont have to go out to buy food anymore!;50;31/12/2020 10:30;puas;tidak puas;lainnya;sistem aplikasi
ohgelau;kepala butuh grab;10;31/12/2020 10:13;tidak puas;tidak puas;lainnya;driver
Suja P;convenient and great riders;50;31/12/2020 09:36;puas;puas;lainnya;lainnya
Saza Adanya;awesome and very helpful 👍🏼👍🏼;50;31/12/2020 09:34;puas;puas;lainnya;lainnya
Arnel Laysa;how do i book a ride? it does not have the function.;10;31/12/2020 09:19;tidak puas;netral;lainnya;sistem aplikasi
Mohd Nadzri;best😍;50;31/12/2020 09:13;puas;puas;lainnya;lainnya
sri revathi;excellent;50;31/12/2020 09:01;puas;puas;lainnya;lainnya
Jonalyn Carbajosa;good job;50;31/12/2020 08:57;puas;puas;lainnya;lainnya
Robin Hud;good;50;31/12/2020 08:56;puas;puas;lainnya;lainnya
Fia Lutfiah;good!;50;31/12/2020 08:53;puas;puas;lainnya;lainnya
Siti Nurbaya Taha;good experience with experience and informative driver;50;31/12/2020 08:52;puas;puas;driver;driver
Shahid Khan;good apps;50;31/12/2020 08:10;puas;puas;sistem aplikasi;sistem aplikasi
petani tebugto;iklan di halaman on the way dihapus donk. masa separuh layar sendiri. itu unfaedah. nutupin peta perjalanan...;30;31/12/2020 08:01;netral;netral;driver;driver
Nur Hani Alias;good;50;31/12/2020 07:27;puas;puas;lainnya;lainnya
daceu zondary;helpfull;50;31/12/2020 07:25;puas;puas;lainnya;lainnya
Arslan;best food delivery but sometimes stray in my housing area;50;31/12/2020 07:19;puas;puas;lainnya;sistem aplikasi
Rashida Usman;unable to change delivery address;10;31/12/2020 07:11;tidak puas;netral;lainnya;sistem aplikasi
Yagya Bk;nice;50;31/12/2020 07:09;puas;puas;driver;driver
Marni Mariana;sangat membantu;50;31/12/2020 07:01;puas;puas;lainnya;lainnya
May Pasoquin;nice app. very helpful.;50;31/12/2020 06:54;puas;puas;driver;driver
collen Lee;better than pxxda;50;31/12/2020 06:43;puas;puas;lainnya;lainnya
Rahmadi Agung Nugroho;sangat memudahkan kehidupan sehari2;50;31/12/2020 06:42;puas;puas;lainnya;lainnya
Johan afandi Ent;tak boleh letak pin kat destinasi..menyusahkan orang..kena masukkan alamat berdekatan dengan alamat yang sepatutnya..bila suruh hantar ke rumah driver x nak hantar..tolong upgrade software ni..;40;31/12/2020 06:37;puas;tidak puas;driver;driver
Ngwe Phyoe Thaw;cool!;50;31/12/2020 06:37;puas;puas;lainnya;lainnya
amri ali;nice apps;50;31/12/2020 06:15;puas;puas;driver;driver
Dwi tanto;good service;50;31/12/2020 06:12;puas;puas;lainnya;lainnya
Atan Sufat;awesome;50;31/12/2020 06:09;puas;puas;lainnya;lainnya
Trí Đức Đào (David Dao);good experience.;50;31/12/2020 06:00;puas;puas;lainnya;lainnya
dietha 08;sejauh ini tidak ada masalah;50;31/12/2020 05:48;puas;netral;lainnya;driver
renceok;always on time a d best app for everyone;50;31/12/2020 05:17;puas;puas;sistem aplikasi;sistem aplikasi
Koernia Yonathan;good service;50;31/12/2020 05:15;puas;puas;lainnya;lainnya
Abu Subiyan1988;welcome;50;31/12/2020 05:12;puas;puas;lainnya;lainnya
Evi Setiyawati;para driver grab nya menyenangkan;40;31/12/2020 05:02;puas;puas;driver;driver
Favian Nain;nice;50;31/12/2020 04:45;puas;puas;driver;driver
Evy Ponggohong;recommended 👍;50;31/12/2020 04:44;puas;puas;lainnya;lainnya
Patrick Dy;stop lying about your vouchers. promoting that there is discount then backing out at the last minute.;10;31/12/2020 04:43;tidak puas;tidak puas;lainnya;sistem aplikasi
MK Ridwan;perfect.;50;31/12/2020 04:24;puas;puas;lainnya;lainnya
diamond ng;good;40;31/12/2020 04:21;puas;puas;lainnya;lainnya
P. KanakaRaju;good;40;31/12/2020 04:19;puas;puas;lainnya;lainnya
